x,y,Clay,SOC,pH,CEC
14.47628,50.85276,12,19.6,5.47,7.6
14.45399,50.61951,34,21.7,5.62,19
14.41521,50.20683,28,35.9,7.59,26.8
14.31758,49.13065,14,9.7,6.08,10.6
14.35441,49.84899,16,14.9,5.91,7.3
14.31104,49.36437,14,17,6.67,11.7
14.4026,50.67552,20,12,5.62,12.4
14.29925,49.54509,9,6.9,6.13,8.4
14.26006,49.0961,22,11.8,6.25,10
14.32128,50.40851,20,9.9,7.8,13.5
14.31309,50.31878,22,13.2,7.65,16
14.25838,49.70855,9,24.5,4.6,6.5
14.20235,49.06228,19,14,5.17,10
14.19321,48.95453,13,31.7,4.25,9.9
14.17194,48.70315,14,20.5,5.04,8.5
14.34119,50.92991,13,57,3.79,11.7
14.28182,50.28394,18,9.3,6.37,11.2
14.25287,49.96089,44,56.6,6.81,38.1
14.25701,50.32087,27,17.5,7.67,23.3
14.18903,49.54909,9,13.5,5.58,13.1
14.18595,49.51321,9,18.3,4.54,7.8
14.16132,49.22592,48,41.8,6.78,34.5
14.17844,49.74758,13,19.5,5.64,7.2
14.23795,50.7357,25,15.9,5.68,27
14.20891,50.41268,18,13,6.63,13.8
14.12767,49.47929,19,30.2,6.1,17
14.2,50.62908,16,25.8,4.39,15.6
14.15713,50.14445,25,28.8,6.72,17.7
14.14932,50.05475,18,20,6.28,9.3
14.18943,50.82749,5,129.6,3.83,8.1
14.06359,49.37365,16,44.2,5.16,14
14.0502,49.21196,12,16.5,5.33,8.2
14.07822,49.87726,28,93.6,7.59,39.5
14.03757,49.3925,8,13.1,4.9,9.7
14.01456,49.10496,19,24.4,6.21,16.1
13.99144,49.16006,25,27.2,6.31,17.6
14.0746,50.48956,28,21.7,7.69,24.5
14.04995,50.20237,12,12.7,7.04,7.8
14.00917,49.71768,16,72.9,6.33,20.9
14.00024,49.60997,14,20.7,5.18,10.6
13.96937,49.23286,11,17.1,5.95,10.9
14.01608,50.13156,22,16.9,6.53,16.5
13.96671,49.5391,13,15.6,5.99,9.8
13.9641,49.84529,29,17,7.24,15.5
14.01007,50.72586,20,16.3,6.17,9.9
13.99625,50.56432,40,32.9,6.46,37.5
13.95599,50.4217,59,37.1,7.29,50.6
13.87681,49.45218,9,27,4.46,9.7
13.85407,49.16484,7,20.2,4.64,6.7
13.95653,50.76372,15,27.2,5.41,9.7
13.9249,50.38676,26,31,6.29,22.1
13.91895,50.31496,29,14.6,6.29,17.9
13.83369,49.25559,10,13.2,6.09,10.7
13.82523,49.14784,0,388.8,5.17,45.5
13.85446,49.86708,28,26.5,7.03,16.9
13.82875,49.54384,20,14.5,6.2,13.7
13.79813,50.21102,7,32.7,3.56,4.3
13.78955,50.1033,20,47.3,3.55,9.8
13.7144,49.13356,16,40.7,5.53,12.7
13.80324,50.62487,31,86.7,4.59,20.3
13.79021,50.4633,44,36,7.44,41.8
13.77728,50.30172,33,19.8,7.21,23.6
13.76445,50.14013,13,16.2,5.9,7.1
13.75173,49.97854,18,22.2,5.88,12.4
13.69209,49.56646,29,34.6,5.57,12.5
13.67985,49.40478,7,22.6,6.55,14.7
13.65567,49.08147,41,42.1,6.95,28.7
13.73252,50.44719,28,17.6,7.74,47.6
13.72968,50.41129,25,20.9,7.54,18.8
13.67206,50.03519,17,18.3,6.63,13.2
13.67627,50.44902,42,24.9,7.72,27.3
13.61735,49.67683,20,24.4,4.45,10.6
13.59068,49.31768,17,16.7,6.74,12.7
13.62969,50.57649,35,23,6.63,26.4
13.58832,50.05634,27,21.1,6.36,17
13.56413,49.69657,22,16,5.94,8.1
13.59325,50.46964,39,31.9,6.59,13.2
13.55834,50.38074,40,18.1,6.63,24.3
13.5079,49.69828,21,28.1,3.99,3.7
13.49101,49.46481,12,21.1,4.22,6.3
13.52489,50.30978,31,16.8,7.19,19.1
13.50188,49.98522,27,17.4,6.29,12.8
13.45506,49.73593,23,24.6,5.82,14.7
13.44103,49.53836,22,20,5.58,11.1
13.45336,50.13419,40,22.4,7.24,21.3
13.42905,50.15071,28,16.2,5.85,16
13.38328,49.50405,0,282.3,3.94,19.8
13.36097,49.18072,11,32.6,6.79,13.2
13.32078,49.39791,13,15.8,5.98,11.9
13.35278,50.26096,46,41.2,7.39,1
13.33886,50.06339,11,19.3,4.14,7.9
13.33639,50.02748,11,24.1,6.23,9.7
13.27296,49.50734,27,20.2,6.11,17.1
13.27202,49.90335,30,59.7,6.04,28.9
13.25863,49.70576,4,24.3,3.72,4.1
13.25018,49.58001,14,63.4,3.65,13.9
13.26499,50.20951,27,33.9,6.39,31.2
13.23935,49.8323,23,20.1,5.38,9.6
13.20321,49.70734,21,17.5,6.26,9.8
13.17373,49.25822,14,28.4,4.16,7
13.17197,49.65422,24,16.3,5.02,10.8
13.15908,49.45659,21,25.1,6.28,19.9
13.135,49.51128,15,12,6.89,10.8
13.16982,50.46412,19,31.5,4.49,5.3
13.14,50.01507,20,21.7,7.53,18.4
13.10285,49.44016,27,16.8,5.77,16.7
13.08771,50.07047,7,10.6,4.44,4.9
13.0545,49.54947,32,15.5,6.64,19.6
13.019447,49.87432,10,18.3,5.6,7.4
13.00928,49.71266,27,21.4,6.71,13.9
13.00147,49.58688,28,21.2,6.61,19.1
12.98931,49.38923,27,20.3,6.33,15.3
12.94256,49.98432,12,24.7,5.67,16.1
12.91362,49.96709,16,28,6.82,16.1
12.88903,50.02171,37,45.9,7.46,30.3
12.87715,49.8241,26,26.1,6.8,17.7
12.83862,50.11294,10,5.7,6.06,2.6
12.81953,49.78952,12,17.4,6.95,10.7
12.808,49.59186,27,16,6.64,15.4
12.75068,49.55728,19,17.3,7,13.7
12.7466,49.48537,12,29.6,4.2,7.3
12.75166,50.06109,16,24.2,5.98,11.4
12.7009,50.15228,23,32.7,6.37,18
12.66486,49.50536,19,22.2,6.03,9.4
12.62914,49.86609,9,17.3,5.34,4.3
12.61167,49.54259,19,63.2,4.98,6.7
12.53205,50.13817,19,28.5,3.55,3.7
12.49758,50.01302,19,40.6,3.96,6
12.47156,50.04959,21,13.6,5.53,8.1
12.3399,50.21419,21,25,4.16,8.8
