x,y,Clay,SOC,pH,CEC
21.30027,53.92449,17,17.1,7.55,9.1
21.11189,53.215566,0,495.2,5.86,163.6
21.00737,52.80774,7,11.4,7.48,6.6
20.94868,52.57716,9,14.5,5.93,4.2
20.93535,52.52395,4,14,4.85,4.1
20.85616,52.20461,6,15.3,4.77,5.7
20.76972,51.8497,3,11.3,6.61,4.7
20.73245,51.81684,4,10.1,4.96,18.8
20.69429,51.65705,6,21.8,4.43,4.1
21.122,53.48697,5,24.1,5.28,6.4
20.9888,52.97278,5,54.9,4.88,11.4
20.59878,51.37559,14,10.6,5.42,7.1
20.48826,50.89602,8,26.1,5.33,5.7
20.20692,49.61618,23,36.5,4.33,8.5
21.282,54.19865,23,53,7.12,35.8
21.0184,53.20602,22,174.2,5.25,43.6
20.82581,52.44329,2,7.6,4.71,1
20.77786,52.24809,14,11.2,7.71,19.2
20.5952,51.48476,4,22.4,4.48,5
20.40395,50.64988,4,12.3,6.08,3.7
20.27091,50.04548,61,38.4,5.54,33.9
20.22877,49.84989,36,11,5.62,18
21.01623,53.31514,3,24.6,5.9,6.9
20.34434,50.51021,2,10.4,4.5,2.4
20.28183,50.22578,19,17.4,5.5,15.5
20.21259,49.90574,14,13.3,6.07,9.5
21.17969,54.04529,23,13,7.47,15.4
21.10246,53.76111,10,152.2,6.87,76.6
20.99568,53.35333,2,8.7,4.72,1
20.91385,53.03408,9,35.2,6.19,15.9
20.87346,52.87444,10,9.8,5.1,5.5
20.8335,52.711487,19,19.9,5.51,14.5
20.65132,51.96936,5,10,4.7,1
20.6217,51.8451,5,9,4.33,2.9
20.57553,51.64977,5,20,5.09,4.9
20.56302,51.59648,3,7.3,4.26,2
